ubicacion,precio
Universidad-Malasaña (Distrito Centro. Madrid Capital),550000
Universidad-Malasaña (Distrito Centro. Madrid Capital),835000
San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1550000
Lucero (Distrito Latina. Madrid Capital),259000
Cármenes (Distrito Latina. Madrid Capital),550000
Guindalera (Distrito Barrio de Salamanca. Madrid Capital),370000
Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),369000
Orcasur (Distrito Usera. Madrid Capital),272000
Aluche (Distrito Latina. Madrid Capital),420000
Cármenes (Distrito Latina. Madrid Capital),399000
Lista (Distrito Barrio de Salamanca. Madrid Capital),1195000
Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),450000
"Puerta de Madrid, El Juncal (Distrito Reyes Católicos. Alcalá de Henares)",205000
Ciudad 70 (Coslada),195460
Rinconada (Distrito Reyes Católicos. Alcalá de Henares),514900
Castellana (Distrito Barrio de Salamanca. Madrid Capital),2600000
Lozoyuela (Lozoyuela-Navas-Sieteiglesias),409000
Aluche (Distrito Latina. Madrid Capital),349000
Orcasur (Distrito Usera. Madrid Capital),188000
San Diego (Distrito Puente de Vallecas. Madrid Capital),183000
Moraleja de Enmedio,490000
Humanes de Madrid,230000
Loranca- Nuevo Versalles-Parque Miraflores (Fuenlabrada),189000
Orcasur (Distrito Usera. Madrid Capital),188000
Trafalgar (Distrito Chamberí. Madrid Capital),865000
Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),850000
Prosperidad (Distrito Chamartín. Madrid Capital),1395000
Pedrezuela,175000
Sol (Distrito Centro. Madrid Capital),3150000
Ciudad Jardín (Distrito Chamartín. Madrid Capital),2500000
